molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5287526,inactive,4.301029995663981,O=[N+]([O-])c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,428.35600000000017,1.4816000000000005,0.0,10.0
CHEMBL5283187,inactive,4.301029995663981,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(/C=C/c3ccc(NS(=O)(=O)c4ccc([N+](=O)[O-])cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,738.7120000000003,3.0832000000000015,2.0,14.0
CHEMBL3823677,inactive,4.0,O=[N+]([O-])c1cccc(-c2nc3ccccc3n3cccc23)c1,289.29400000000004,4.062700000000002,0.0,3.0
CHEMBL1567670,inactive,4.505845405981558,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,339.3980000000001,4.010200000000002,0.0,3.0
CHEMBL3822556,inactive,4.195179321278838,Oc1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,276.295,3.5657000000000014,2.0,3.0
CHEMBL3823737,inactive,4.0,Oc1ccc(-c2nc3ccccc3n3cccc23)cc1,260.29600000000005,3.860100000000002,1.0,2.0
CHEMBL3823341,inactive,4.083809340019462,Oc1ccc2c(c1)nc(-c1cccnc1)c1cccn12,261.28400000000005,3.2551000000000014,1.0,3.0
CHEMBL5273057,inactive,4.301029995663981,[N-]=[N+]=Nc1ccc(/C=C/c2ccc(N=[N+]=[N-])cc2)cc1,262.276,5.740600000000003,0.0,2.0
CHEMBL5269627,inactive,4.667561540084395,[N-]=[N+]=Nc1ccc(/C=C/c2ccc(N=[N+]=[N-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,420.38800000000015,3.5488000000000035,0.0,8.0
CHEMBL3824268,inactive,4.0,c1ccc2c(-c3nc4ccccc4n4cccc34)cccc2c1,294.357,5.307700000000003,0.0,1.0
CHEMBL3823629,inactive,4.0,c1ccc2c(c1)nc(-c1ccc(N3CCCC3)cc1)c1cccn12,313.404,4.754700000000004,0.0,2.0
CHEMBL3822575,inactive,4.196542884351586,c1ccc2c(c1)nc(-c1ccc(N3CCOCC3)cc1)c1cccn12,329.40299999999996,3.991100000000002,0.0,3.0
CHEMBL3822942,inactive,4.047207556955908,c1ccc2c(c1)nc(-c1ccncc1)c1cccn12,245.28500000000003,3.549500000000002,0.0,2.0
CHEMBL3823966,inactive,4.066259700503065,c1cncc(-c2nc3ccccc3n3cccc23)c1,245.28500000000003,3.549500000000002,0.0,2.0
