molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL5273057,[N-]=[N+]=Nc1ccc(/C=C/c2ccc(N=[N+]=[N-])cc2)cc1,50000,inactive
CHEMBL5277728,COc1ccc(C(=O)Nc2ccc(/C=C/c3ccc(NC(=O)c4ccc(OC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1.[Na+].[Na+],6500,intermediate
CHEMBL5273677,O=S(=O)([O-])c1cc(NS(=O)(=O)c2ccccc2)ccc1/C=C/c1ccc(NS(=O)(=O)c2ccccc2)cc1S(=O)(=O)[O-].[Na+].[Na+],41300,inactive
CHEMBL5278453,Cc1ccc(S(=O)(=O)Nc2ccc(/C=C/c3ccc(NS(=O)(=O)c4ccc(C)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1.[Na+].[Na+],29000,inactive
CHEMBL5283187,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(/C=C/c3ccc(NS(=O)(=O)c4ccc([N+](=O)[O-])cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1.[Na+].[Na+],50000,inactive
CHEMBL5279331,CC(C)COC(=O)Nc1ccc(/C=C/c2ccc(NC(=O)OCC(C)C)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],50000,inactive
CHEMBL5287027,O=C(Nc1ccc(/C=C/c2ccc(NC(=O)Oc3ccccc3)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1)Oc1ccccc1.[Na+].[Na+],2300,intermediate
CHEMBL5276360,COS(=O)(=O)c1cc(NC(=O)Oc2ccccc2)ccc1/C=C/c1ccc(NC(=O)Oc2ccccc2)cc1S(=O)(=O)OC,50000,inactive
CHEMBL5274741,O=C(Nc1ccc(CCc2ccc(NC(=O)Oc3ccccc3)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1)Oc1ccccc1.[Na+].[Na+],30000,inactive
CHEMBL5286345,O=C(Nc1ccc(/C=C/c2ccc(NC(=O)Oc3ccccc3)cc2)cc1)Oc1ccccc1,30500,inactive
CHEMBL5278397,O=S(=O)(Nc1ccc(/C=C/c2ccc(NS(=O)(=O)c3ccccc3)cc2)cc1)c1ccccc1,50000,inactive
CHEMBL1567670,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,27400,inactive
CHEMBL133930,O=S(=O)([O-])c1cc(N=C=S)ccc1/C=C/c1ccc(N=C=S)cc1S(=O)(=O)[O-].[Na+].[Na+],900,active
CHEMBL5269627,[N-]=[N+]=Nc1ccc(/C=C/c2ccc(N=[N+]=[N-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],44300,inactive
CHEMBL5287615,CC(=O)Nc1ccc(/C=C/c2ccc(N=C=S)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],29000,inactive
CHEMBL1271993,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,20000,inactive
